timestamp,w1,w2,w3,w4,resxy,resz,pos1,pos2,pos3,pos4,diff,chi2,obj,phase,note
2025-08-26_10:59:18,0.0,0.0,0.0,0.0,8.311187011427014e-06,8.30990985180193e-06,-0.06186829429645208,0.051264660408490925,0.014156101644049235,0.029130160891446377,12.510100186412684,1544475.2084709518,1544475.2084709518,warmup,random
2025-08-26_10:59:18,0.0,0.0,0.0,0.0,9.677632013615978e-06,9.76126879673932e-06,-0.02740608598566472,0.003465900428513302,-0.009527697390103791,-0.029227920372274133,11.901029512371068,1404651.9293343844,1404651.9293343844,warmup,random
2025-08-26_10:59:18,0.0,0.0,0.0,0.0,2.4198905664292053e-05,4.1625067155760074e-05,-0.042045670497829646,0.001992821377905629,0.012938039640685947,-0.06349694221920033,9.079866472555764,845396.427189748,845396.427189748,warmup,random
2025-08-26_10:59:18,0.0,0.0,0.0,0.0,5.118021615129792e-05,4.285463958276662e-05,-0.027354072315728103,-0.05632590403910626,0.025792623711701962,-0.008378650876455819,9.164545570256834,832912.5473142676,832912.5473142676,warmup,random
2025-08-26_10:59:19,0.0,0.0,0.0,0.0,1.3752400025720895e-05,3.513055495654335e-05,-0.026360449347482467,0.002809522964893507,0.006539439108059153,-0.044120376226426214,10.220142887284634,1038041.326373525,1038041.326373525,warmup,random
2025-08-26_10:59:20,0.0,0.0,0.0,0.0,3.170880387804696e-05,4.8863240744474035e-05,-0.057611049712731274,-0.042562399261319675,-0.06366817955252468,-0.024453753693142996,8.62719404916052,764035.4701569877,764035.4701569877,warmup,random
2025-08-26_10:59:20,0.0,0.0,0.0,0.0,1.4925482287946811e-05,2.8785757603229256e-05,-0.05027060850353324,0.04230757730556556,-0.059562909884832094,0.06816417112407241,11.225988851319807,1251567.8582357713,1251567.8582357713,warmup,random
2025-08-26_10:59:20,0.0,0.0,0.0,0.0,3.7478096356731326e-05,3.865092954777028e-05,0.03797784853603241,-0.05963374875722736,-0.019814798003801835,-0.05377833166648184,9.172909441332886,842626.5629256924,842626.5629256924,warmup,random
2025-08-26_10:59:20,0.0,0.0,0.0,0.0,1.6516513934844313e-05,1.726845690131626e-05,0.032144864967328976,0.01925804598972984,0.05420978396068572,-0.003889910477327105,11.100812703491883,1227913.4190223713,1227913.4190223713,warmup,random
2025-08-26_10:59:21,0.0,0.0,0.0,0.0,4.0872712178594e-05,2.6196476827494492e-05,0.0031825961134791664,-0.010144257429803051,-0.06644132225582668,-0.054895200220937385,9.69403461498403,945915.0477717653,945915.0477717653,warmup,random
2025-08-26_10:59:21,0.0,0.0,0.0,0.0,4.810564479438663e-05,1.3250023533432927e-05,-0.012546390775011837,0.03577715939602681,-0.03796825683117286,-0.05922281262396899,10.322519941928936,1081847.728882318,1081847.728882318,warmup,random
