timestamp,w,resxy,resz,pos,diff,chi2,obj,phase,note
2025-08-23_22:25:58,0.019570346669655844,1.901675041287783e-05,1.4653279139137532e-05,0.0009865848419703662,8.978793962168824,651490.9978168003,651490.9978168003,warmup,random
2025-08-23_22:25:58,0.008152817944476866,3.1620906807072427e-06,1.2087680627555792e-06,0.0036617614577493527,24.327066819098253,3885942.233977927,3885942.233977927,warmup,random
2025-08-23_22:25:58,0.03140865824857092,1.4176047927031107e-05,4.606606612012588e-07,0.004699098521619943,12.361924280635659,1814058.9194850135,1814058.9194850135,warmup,random
2025-08-23_22:25:58,0.04349529553918124,4.28616525803161e-06,3.6774080957816572e-06,-0.003165954901465662,19.151795972221073,2434327.5216916907,2434327.5216916907,warmup,random
2025-08-23_22:25:59,0.01589735295239289,1.0518890811063145e-05,8.667303121910209e-06,-0.002087708598019581,8.747972623818045,542301.9171410431,542301.9171410431,warmup,random
2025-08-23_22:25:59,0.03196970189634961,2.8329025200082347e-06,5.878285738277603e-06,-0.0013363815670630829,19.49265317094755,2546532.679263239,2546532.679263239,warmup,random
2025-08-23_22:25:59,0.023830200605355914,1.5714260429790623e-05,4.033491954059277e-06,0.00014234438413611612,10.930399533361477,1194521.903010702,1194521.903010702,warmup,random
2025-08-23_22:25:59,0.03095406880847286,9.766857337639546e-07,1.2170519795433696e-05,-0.003294758763127085,16.812769089934108,2524856.225160257,2524856.225160257,warmup,random
2025-08-23_22:25:59,0.0033998806818878696,1.8980266468204e-05,1.931435905983746e-05,0.003083973481164611,13.658194598158055,1218680.3694923501,1218680.3694923501,warmup,random
2025-08-23_22:25:59,0.015916764825539446,1.9985586744273582e-06,1.370044887891753e-05,-0.0005984750626039873,14.804498954694052,2225664.7277380684,2225664.7277380684,warmup,random
2025-08-23_22:25:59,0.00637737573240485,9.92877935671984e-06,7.360509962486071e-07,0.004093204020787822,15.552816106736609,2450940.4992338773,2450940.4992338773,warmup,random
2025-08-23_22:25:59,0.013521995258619284,1.326731957286194e-05,6.268635967983749e-06,0.00020068021177810803,6.971403092593759,766341.0046724502,766341.0046724502,warmup,random
2025-08-23_22:25:59,0.02856606538540702,3.7378463877342643e-06,1.9393213323902944e-05,0.002751328233611146,18.195550015558318,2119421.299166957,2119421.299166957,warmup,random
2025-08-23_22:25:59,0.04908888019778732,1.7901805641031596e-05,1.1978104577281149e-05,0.004218742350231169,9.30033240067998,706130.9995871538,706130.9995871538,warmup,random
2025-08-23_22:25:59,0.004624644739710742,3.9598581052619474e-06,9.522844137652344e-07,-0.0017466966923673564,24.484814082071615,3987738.2489574836,3987738.2489574836,warmup,random
2025-08-23_22:25:59,0.020308999708985746,5.463413183889224e-06,1.658331330758099e-05,-0.001432466733064107,13.226164840848714,1254475.4369420563,1254475.4369420563,warmup,random
2025-08-23_22:25:59,0.014679547196655958,1.0876786859007056e-05,2.8614382882465148e-06,0.003021969807540396,11.956310213782496,1563255.154663245,1563255.154663245,warmup,random
2025-08-23_22:25:59,0.003896196581624346,1.9738394385180322e-05,1.5456283147468317e-05,-0.003012843184658276,8.397629915355527,550620.8759946879,550620.8759946879,warmup,random
2025-08-23_22:25:59,0.0002895250975911018,1.6318455497673944e-05,1.415180400975996e-05,0.002290071680409873,5.56530976439391,252076.92551664435,252076.92551664435,warmup,random
2025-08-23_22:26:00,0.04029910434399398,1.5271908020951026e-06,7.201391284458239e-06,-0.0038413094047487027,19.82729174854676,2738809.9412976857,2738809.9412976857,warmup,random
2025-08-23_22:26:00,0.04509729089857389,1.248479763020978e-05,6.651415595810352e-06,-0.004364416497139764,7.605481926121259,580203.8282527569,580203.8282527569,warmup,random
2025-08-23_22:26:00,0.016249515327321638,6.537407274433604e-06,1.4605643257844378e-05,0.0013755747135521315,9.760374289934758,809861.0353598277,809861.0353598277,warmup,random
2025-08-23_22:26:00,0.04635697858687049,9.470687756980889e-06,2.435905206469119e-06,0.0021324478722299497,12.404263443897364,1363228.081898361,1363228.081898361,warmup,random
2025-08-23_22:26:00,0.03975125800518428,1.124748009151145e-05,1.5430795240093492e-05,-6.204403635609243e-05,5.4176557305838715,217958.8128850074,217958.8128850074,warmup,random
2025-08-23_22:26:00,0.02731326760237981,8.579443316253065e-06,5.571115785446989e-07,-0.003921085730066956,17.197977420569067,2360138.790008555,2360138.790008555,warmup,random
2025-08-23_22:26:00,0.001643143522946178,1.2746387704712418e-05,6.3214018224727174e-06,8.570691164702746e-05,8.630087175480224,982334.7465662552,982334.7465662552,warmup,random
2025-08-23_22:26:00,0.04742044069616444,5.023379971520056e-06,8.237139314560812e-06,0.002555511385430487,14.037307764914072,1363587.4127989428,1363587.4127989428,warmup,random
2025-08-23_22:26:00,0.011955475348771782,1.5857492010844202e-06,5.830541485629672e-06,-0.003387787127459956,22.6146475571588,3342305.1302199657,3342305.1302199657,warmup,random
2025-08-23_22:26:00,0.048576772637247106,1.617200157231012e-05,1.2686404942382948e-05,0.0037146059018771773,6.478609605468786,364085.6437748361,364085.6437748361,warmup,random
2025-08-23_22:26:00,0.04199206234590184,3.772072674776415e-06,1.785655201987506e-05,0.0003934224191565073,17.037437348621935,1921810.1409530994,1921810.1409530994,warmup,random
2025-08-23_22:26:00,0.04218894066716711,1.7927021433473692e-05,6.3941693256886845e-06,-0.0038994807547232326,10.310604233342461,797611.2138995484,797611.2138995484,warmup,random
2025-08-23_22:26:00,0.01191038430765391,8.570800383093813e-06,1.636939458015374e-05,0.003607305832563434,8.331532909472905,461600.38612255506,461600.38612255506,warmup,random
2025-08-23_22:26:00,0.0003642418681241831,1.0239408686422437e-05,8.37734951281814e-06,-0.0027789218952926974,10.809308825878242,831351.7959371664,831351.7959371664,warmup,random
2025-08-23_22:26:00,0.006263845577817594,6.785422669502378e-06,1.886104859305476e-05,-0.0017679706797924478,13.305020164790509,1167079.768355952,1167079.768355952,warmup,random
2025-08-23_22:26:00,0.02710729119546914,1.4075228229958798e-05,7.304410567466916e-06,0.0047178208272096065,7.199075880602186,499583.2786943293,499583.2786943293,warmup,random
2025-08-23_22:26:00,0.050287908713430376,5.073056801716016e-06,9.97010769255309e-06,-0.0019912169018323034,13.55413981925847,1343139.0661472674,1343139.0661472674,warmup,random
2025-08-23_22:26:00,0.014883630990728305,7.858945997229292e-07,1.2210808462898942e-05,2.6790232288615053e-05,17.224783171724432,2677760.233560813,2677760.233560813,warmup,random
2025-08-23_22:26:00,0.002690713274060694,5.608996961520399e-06,1.8169904425034744e-05,-0.002604381093330276,14.251846476468778,1395010.0326184025,1395010.0326184025,warmup,random
2025-08-23_22:26:00,0.007571612171894316,9.814582567537382e-06,1.9713726559506487e-05,-0.0025794472848849957,10.31519875093958,742272.5176349322,742272.5176349322,warmup,random
2025-08-23_22:26:00,0.035119410216409755,1.5244311325807915e-05,4.790869002648374e-06,0.002282163486118596,9.92693547142536,926373.2679970552,926373.2679970552,warmup,random
2025-08-23_22:26:00,1e-06,9.999999999999999e-06,9.999999999999999e-06,-0.005,10.145069221458193,671166.6060150939,671166.6060150939,grid,coarse
